Number		Start (hex)	End (hex)	vStart (hex)	vEnd (hex)	Object	Size(kb)	Name
0000 (0x0000)	00000000	00000000	00000000	00000000	0000	0.0000		(No name)
0001 (0x0001)	00CDCF60	00CDDC60	80862B70	80863870	0001	3.2500		(No name)
0002 (0x0002)	00CDDC60	00CDF760	80863870	80865370	0001	6.7500		(No name)
0003 (0x0003)	00CDF760	00CDFD80	80865370	80865990	0001	1.5312		(No name)
0004 (0x0004)	00CDFD80	00CE0BF0	80865990	80866800	0001	3.6093		(No name)
0005 (0x0005)	00CE0BF0	00CE1FB0	80866800	80867BD0	0001	4.9375		(No name)
0006 (0x0006)	00CE1FB0	00CE4170	80867BD0	80869D90	000C	8.4375		(No name)
0007 (0x0007)	00CE4170	00CE8200	80869D90	8086DE20	0128	16.140		(No name)
0008 (0x0008)	00CE8200	00CEB190	8086DE20	80870DB0	0005	11.890		(No name)
0009 (0x0009)	00CEB190	00CEEA30	80870DB0	80874810	0001	14.156		(No name)
0010 (0x000A)	00CEEA30	00CF0890	80874810	80876670	0009	7.5937		(No name)
0011 (0x000B)	00CF0890	00CF3910	80876670	808796F0	000A	12.125		(No name)
0012 (0x000C)	00CF3910	00CF5950	808796F0	8087B730	000B	8.0625		(No name)
0013 (0x000D)	00CF5950	00D04460	8087B730	8088A240	0001	58.765		(No name)
0014 (0x000E)	00000000	00000000	00000000	00000000	0000	0.0000		(No name)
0015 (0x000F)	00D04460	00D06730	8088A240	8088C510	0001	8.7031		(No name)
0016 (0x0010)	00D06730	00D0B280	8088C510	80891060	0001	18.828		(No name)
0017 (0x0011)	00D0B280	00D0DA10	80891060	808937F0	000F	9.8906		(No name)
0018 (0x0012)	00D0DA10	00D11150	808937F0	80896F30	0012	13.812		(No name)
0019 (0x0013)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0020 (0x0014)	00D11150	00D13B80	80896F30	80899960	0014	10.546		(No name)
0021 (0x0015)	00D8F180	00D90710	8091C0A0	8091D630	0002	5.3906		(No name)
0022 (0x0016)	00D8D980	00D8F180	8091A8A0	8091C0A0	0001	6.0000		(No name)
0023 (0x0017)	00D90710	00D92FD0	8091D630	8091FEF0	0001	10.187		(No name)
0024 (0x0018)	00D13B80	00D14900	80899960	8089A6E0	0001	3.3750		(No name)
