Number		Start (hex)	End (hex)	vStart (hex)	vEnd (hex)	Object	Size(kb)	Name
0000 (0x0000)	00000000	00000000	00000000	00000000	0000	0.0000		Player
0001 (0x0001)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0002 (0x0002)	00C2E420	00C33CD0	8085F650	80864F00	0032	22.171		ovl_En_Test
0003 (0x0003)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0004 (0x0004)	00DF1330	00DF42C0	80A3A750	80A3D6E0	0001	11.890		ovl_En_GirlA
0005 (0x0005)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0006 (0x0006)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0007 (0x0007)	00E83E40	00E85510	80ACDDD0	80ACF4A0	0001	5.7031		ovl_En_Part
0008 (0x0008)	00E53BB0	00E54A40	80A9DB40	80A9E9D0	0001	3.6406		ovl_En_Light
0009 (0x0009)	00DB2DC0	00DB3C20	809FC1D0	809FD030	0001	3.5937		ovl_En_Door
0010 (0x000A)	00D823F0	00D84130	809C8DC0	809CAB10	000E	7.3125		ovl_En_Box
0011 (0x000B)	00C41590	00C44680	80872830	80875920	000A	12.234		ovl_Bg_Dy_Yoseizo
0012 (0x000C)	00C553A0	00C55B80	80886660	80886E40	002C	1.9687		ovl_Bg_Hidan_Firewall
0013 (0x000D)	00E93D30	00E980A0	80ADDD50	80AE20C0	0001	16.859		ovl_En_Poh
0014 (0x000E)	00E766D0	00E78D10	80AC0660	80AC2CA0	0007	9.5625		ovl_En_Okuta
0015 (0x000F)	00C8E110	00C8F920	808BF410	808C0C20	0036	6.0156		ovl_Bg_Ydan_Sp
0016 (0x0010)	00D7BD00	00D7CC60	809C26D0	809C3630	0001	3.8437		ovl_En_Bom
0017 (0x0011)	00EE5350	00EE6E50	80B2F520	80B31020	000B	6.7500		ovl_En_Wallmas
0018 (0x0012)	00DAEE40	00DB1BC0	809F8250	809FAFD0	000C	11.375		ovl_En_Dodongo
0019 (0x0013)	00DC9C60	00DCBE70	80A13070	80A15280	000D	8.5156		ovl_En_Firefly
0020 (0x0014)	00E11ED0	00E1E130	80A5B2F0	80A67550	001A	48.593		ovl_En_Horse
0021 (0x0015)	00000000	00000000	00000000	00000000	0000	0.0000		En_Item00
0022 (0x0016)	00D6CF50	00D6E730	809B3920	809B5100	0001	5.9687		ovl_En_Arrow
0023 (0x0017)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0024 (0x0018)	00DB8820	00DBD310	80A01C30	80A06720	0001	18.734		ovl_En_Elf
0025 (0x0019)	00E6B7F0	00E6EFF0	80AB5780	80AB8F80	0013	14.000		ovl_En_Niw
0026 (0x001A)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0027 (0x001B)	00ECE910	00ED1790	80B18A80	80B1B900	0016	11.625		ovl_En_Tite
0028 (0x001C)	00E9ACB0	00E9C910	80AE4CD0	80AE6930	0017	7.0937		ovl_En_Reeba
0029 (0x001D)	00E85510	00E88D20	80ACF4A0	80AD2CB0	0018	14.015		ovl_En_Peehat
0030 (0x001E)	00D86690	00D87D00	809CD070	809CE6E0	0002	5.6093		ovl_En_Butte
0031 (0x001F)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0032 (0x0020)	00E329F0	00E35030	80A7BE20	80A7E460	0001	9.5625		ovl_En_Insect
0033 (0x0021)	00DCBE70	00DCE100	80A15280	80A17510	0001	8.6406		ovl_En_Fish
0034 (0x0022)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0035 (0x0023)	00E0F7F0	00E10810	80A58C10	80A59C30	0001	4.0312		ovl_En_Holl
0036 (0x0024)	00EAEC50	00EAEE00	80AF8C70	80AF8E20	0040	0.4218		ovl_En_Scene_Change
0037 (0x0025)	00EF9D60	00F00840	80B44050	80B4AB40	001B	26.718		ovl_En_Zf
0038 (0x0026)	00E07930	00E07EB0	80A50D50	80A512D0	0076	1.3750		ovl_En_Hata
0039 (0x0027)	00C8FE90	00C99AC0	808C1190	808CADC0	0019	39.046		ovl_Boss_Dodongo
0040 (0x0028)	00CDF070	00CE5160	80915A10	8091BB00	001C	24.234		ovl_Boss_Goma
0041 (0x0029)	00F00840	00F04690	80B4AB40	80B4E990	001D	15.578		ovl_En_Zl1
0042 (0x002A)	00EE0050	00EE3290	80B2A200	80B2D460	0001	12.562		ovl_En_Viewer
0043 (0x002B)	00DFFAA0	00E02880	80A48EC0	80A4BCA0	001E	11.468		ovl_En_Goma
0044 (0x002C)	00C777E0	00C77B50	808A8AE0	808A8E50	0003	0.8593		ovl_Bg_Pushbox
0045 (0x002D)	00D85220	00D86690	809CBC00	809CD070	0012	5.1093		ovl_En_Bubble
0046 (0x002E)	00D4F8E0	00D51C60	809962A0	80998620	0001	8.8750		ovl_Door_Shutter
0047 (0x002F)	00DACFB0	00DAEE40	809F63C0	809F8250	001F	7.6406		ovl_En_Dodojr
0048 (0x0030)	00D75660	00D76290	809BC030	809BCC60	0019	3.0468		ovl_En_Bdfire
0049 (0x0031)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0050 (0x0032)	00D81AB0	00D823F0	809C8480	809C8DC0	0001	2.3125		ovl_En_Boom
0051 (0x0033)	00ED3810	00ED5FC0	80B1D980	80B20170	0020	9.9218		ovl_En_Torch2
0052 (0x0034)	00D78ED0	00D7B1E0	809BF8A0	809C1BB0	0021	8.7656		ovl_En_Bili
0053 (0x0035)	00ED6C30	00ED8B40	80B20DE0	80B22CF0	0022	7.7656		ovl_En_Tp
0054 (0x0036)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0055 (0x0037)	00EBA7A0	00EBD450	80B04890	80B07540	0024	11.171		ovl_En_St
0056 (0x0038)	00D87D00	00D8B100	809CE6E0	809D1AE0	0025	13.000		ovl_En_Bw
0057 (0x0039)	00000000	00000000	00000000	00000000	0000	0.0000		En_A_Obj
0058 (0x003A)	00DB6B90	00DB8820	809FFFA0	80A01C30	0026	7.1406		ovl_En_Eiyer
0059 (0x003B)	00E9C910	00E9D290	80AE6930	80AE72B0	0001	2.3750		ovl_En_River_Sound
0060 (0x003C)	00E21E30	00E244B0	80A6B250	80A6D8D0	0027	9.6250		ovl_En_Horse_Normal
0061 (0x003D)	00E78D10	00E7FF90	80AC2CA0	80AC9F20	0001	28.625		ovl_En_Ossan
0062 (0x003E)	00C8B200	00C8C8E0	808BC500	808BDBE0	002A	5.7187		ovl_Bg_Treemouth
0063 (0x003F)	00C407D0	00C41590	80871A00	80872830	002B	3.4375		ovl_Bg_Dodoago
0064 (0x0040)	00C54B60	00C553A0	80885E20	80886660	002C	2.0625		ovl_Bg_Hidan_Dalm
0065 (0x0041)	00C57E70	00C586A0	80889130	80889960	002C	2.0468		ovl_Bg_Hidan_Hrock
0066 (0x0042)	00E1F240	00E1FFB0	80A68660	80A693D0	002D	3.3593		ovl_En_Horse_Ganon
0067 (0x0043)	00C59DC0	00C5AF40	8088B080	8088C200	002C	4.3750		ovl_Bg_Hidan_Rock
0068 (0x0044)	00C5AF40	00C5BC00	8088C200	8088CEC0	002C	3.1875		ovl_Bg_Hidan_Rsekizou
0069 (0x0045)	00C5BC00	00C5D110	8088CEC0	8088E3D0	002C	5.2656		ovl_Bg_Hidan_Sekizou
0070 (0x0046)	00C5D110	00C5E100	8088E3D0	8088F3C0	002C	3.9843		ovl_Bg_Hidan_Sima
0071 (0x0047)	00C5E100	00C5E550	8088F3C0	8088F810	002C	1.0781		ovl_Bg_Hidan_Syoku
0072 (0x0048)	00EF1F20	00EF8AD0	80B3C1E0	80B42DC0	008A	26.921		ovl_En_Xc
0073 (0x0049)	00C53EE0	00C54B60	808851A0	80885E20	0001	3.1250		ovl_Bg_Hidan_Curtain
0074 (0x004A)	00C78480	00C796C0	808A9780	808AA9C0	002F	4.5625		ovl_Bg_Spot00_Hanebasi
0075 (0x004B)	00E5C0C0	00E602C0	80AA6050	80AAA250	0030	16.500		ovl_En_Mb
0076 (0x004C)	00D80590	00D81AB0	809C6F60	809C8480	0031	5.2812		ovl_En_Bombf
0077 (0x004D)	00F04690	00F090B0	80B4E990	80B533B0	0060	18.531		ovl_En_Zl2
0078 (0x004E)	00C55B80	00C56030	80886E40	808872F0	002C	1.1718		ovl_Bg_Hidan_Fslift
0079 (0x004F)	00E74710	00E747D0	80ABE6A0	80ABE760	0035	0.1875		ovl_En_OE2
0080 (0x0050)	00C8D200	00C8DA40	808BE500	808BED40	0036	2.0625		ovl_Bg_Ydan_Hasi
0081 (0x0051)	00C8DA40	00C8E110	808BED40	808BF410	0036	1.7031		ovl_Bg_Ydan_Maruta
0082 (0x0052)	00CD9CA0	00CDF070	80910640	80915A10	0037	20.953		ovl_Boss_Ganondrof
0083 (0x0053)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0084 (0x0054)	00D67550	00D699A0	809ADF20	809B0370	0038	9.0781		ovl_En_Am
0085 (0x0055)	00D9C3C0	00DA0150	809E57D0	809E9560	0039	15.390		ovl_En_Dekubaba
0086 (0x0056)	00E54EB0	00E55050	80A9EE40	80A9EFE0	0001	0.4062		ovl_En_M_Fire1
0087 (0x0057)	00E55050	00E56700	80A9EFE0	80AA0690	0001	5.6718		ovl_En_M_Thunder
0088 (0x0058)	00C3F880	00C3FEC0	80870AB0	808710F0	002B	1.5625		ovl_Bg_Ddan_Jd
0089 (0x0059)	00C3E9B0	00C3F880	8086FBE0	80870AB0	0001	3.7031		ovl_Bg_Breakwall
0090 (0x005A)	00E3E3D0	00E3F9E0	80A87800	80A88E10	0040	5.5156		ovl_En_Jj
0091 (0x005B)	00E244B0	00E24F80	80A6D8D0	80A6E3A0	0046	2.7031		ovl_En_Horse_Zelda
0092 (0x005C)	00C3FEC0	00C407D0	808710F0	80871A00	002B	2.2656		ovl_Bg_Ddan_Kd
0093 (0x005D)	00D51DC0	00D562E0	80998780	8099CCB0	0048	17.281		ovl_Door_Warp1
0094 (0x005E)	00F4DED0	00F4EBB0	80B9F2B0	80B9FFA0	00A4	3.2187		ovl_Obj_Syokudai
0095 (0x005F)	00F33D70	00F34210	80B85150	80B855F0	00BD	1.1562		ovl_Item_B_Heart
0096 (0x0060)	00DA0150	00DA1930	809E9560	809EAD40	004A	5.9687		ovl_En_Dekunuts
0097 (0x0061)	00C6AEE0	00C6B060	8089C1B0	8089C330	004D	0.3750		ovl_Bg_Menkuri_Kaiten
0098 (0x0062)	00C6A9B0	00C6AEE0	8089BC70	8089C1B0	004D	1.2968		ovl_Bg_Menkuri_Eye
0099 (0x0063)	00EDC500	00EDED00	80B266B0	80B28EB0	0056	10.000		ovl_En_Vali
0100 (0x0064)	00C6C960	00C6DB70	8089DC30	8089EE50	0059	4.5156		ovl_Bg_Mizu_Movebg
0101 (0x0065)	00C6E5D0	00C6F4A0	8089F8B0	808A0780	0059	3.7031		ovl_Bg_Mizu_Water
0102 (0x0066)	00C33CD0	00C34AE0	80864F00	80865D10	0014	3.5156		ovl_Arms_Hook
0103 (0x0067)	00F186C0	00F1B420	80B629C0	80B65720	005A	11.343		ovl_En_fHG
0104 (0x0068)	00C724E0	00C73350	808A37D0	808A4640	0001	3.6093		ovl_Bg_Mori_Hineri
0105 (0x0069)	00D71910	00D75660	809B82E0	809BC030	005D	15.328		ovl_En_Bb
0106 (0x006A)	00C88C00	00C89B40	808B9F00	808BAE40	005E	3.8125		ovl_Bg_Toki_Hikari
0107 (0x006B)	00EF96D0	00EF9D60	80B439C0	80B44050	005F	1.6406		ovl_En_Yukabyun
0108 (0x006C)	00C89B40	00C8B200	808BAE40	808BC500	005E	5.6875		ovl_Bg_Toki_Swd
0109 (0x006D)	00DC5E50	00DC8810	80A0F260	80A11C20	005A	10.437		ovl_En_Fhg_Fire
0110 (0x006E)	00C6F4A0	00C6F8E0	808A0780	808A0BC0	0001	1.0625		ovl_Bg_Mjin
0111 (0x006F)	00C586A0	00C58D60	80889960	8088A020	002C	1.6875		ovl_Bg_Hidan_Kousi
0112 (0x0070)	00D51C60	00D51DC0	80998620	80998780	005E	0.3437		ovl_Door_Toki
0113 (0x0071)	00C56D80	00C57E70	80888040	80889130	002C	4.2343		ovl_Bg_Hidan_Hamstep
0114 (0x0072)	00D7B1E0	00D7B690	809C1BB0	809C2060	0077	1.1718		ovl_En_Bird
0115 (0x0073)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0116 (0x0074)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0117 (0x0075)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0118 (0x0076)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0119 (0x0077)	00EF0CC0	00EF1F20	80B3AF70	80B3C1E0	007C	4.5937		ovl_En_Wood02
0120 (0x0078)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0121 (0x0079)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0122 (0x007A)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0123 (0x007B)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0124 (0x007C)	00E54A40	00E54EB0	80A9E9D0	80A9EE40	0081	1.1093		ovl_En_Lightbox
0125 (0x007D)	00E980A0	00E983E0	80AE20C0	80AE2400	0082	0.8125		ovl_En_Pu_box
0126 (0x007E)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0127 (0x007F)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0128 (0x0080)	00EDA4B0	00EDB740	80B24660	80B258F0	0085	4.6406		ovl_En_Trap
0129 (0x0081)	00D6CE00	00D6CF50	809B37D0	809B3920	0001	0.3281		ovl_En_Arow_Trap
0130 (0x0082)	00EDED00	00EDEDF0	80B28EB0	80B28FA0	0086	0.2343		ovl_En_Vase
0131 (0x0083)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0132 (0x0084)	00EC9930	00ECD3F0	80B13AA0	80B17560	0088	14.687		ovl_En_Ta
0133 (0x0085)	00ED1790	00ED3720	80B1B900	80B1D890	0089	7.8906		ovl_En_Tk
0134 (0x0086)	00C6F8E0	00C70520	808A0BC0	808A1800	0072	3.0625		ovl_Bg_Mori_Bigst
0135 (0x0087)	00C70520	00C71280	808A1800	808A2560	0072	3.3437		ovl_Bg_Mori_Elevator
0136 (0x0088)	00C73AD0	00C74280	808A4DC0	808A5570	0072	1.9218		ovl_Bg_Mori_Kaitenkabe
0137 (0x0089)	00C74280	00C74F20	808A5570	808A6210	0072	3.1562		ovl_Bg_Mori_Rakkatenjo
0138 (0x008A)	00EE3290	00EE4C20	80B2D460	80B2EDF0	008B	6.3906		ovl_En_Vm
0139 (0x008B)	00D2A5E0	00D30A20	80970F50	80977390	0001	25.062		ovl_Demo_Effect
0140 (0x008C)	00D42510	00D46610	80988E80	8098CFD0	0001	16.250		ovl_Demo_Kankyo
0141 (0x008D)	00C56030	00C56D80	808872F0	80888040	002C	3.3281		ovl_Bg_Hidan_Fwbig
0142 (0x008E)	00DCE100	00DD1590	80A17510	80A1A9A0	000B	13.140		ovl_En_Floormas
0143 (0x008F)	00E07EB0	00E09A80	80A512D0	80A52EA0	0097	6.9531		ovl_En_Heishi1
0144 (0x0090)	00E983E0	00E9ACB0	80AE2400	80AE4CD0	0098	10.203		ovl_En_Rd
0145 (0x0091)	00E8EF70	00E93D30	80AD8F90	80ADDD50	0099	19.437		ovl_En_Po_Sisters
0146 (0x0092)	00C524D0	00C53EE0	80883790	808851A0	009A	6.5156		ovl_Bg_Heavy_Block
0147 (0x0093)	00C74F20	00C76DB0	808A6210	808A80B0	0099	7.6406		ovl_Bg_Po_Event
0148 (0x0094)	00F476C0	00F48B60	80B98AA0	80B99F40	0001	5.1562		ovl_Obj_Mure
0149 (0x0095)	00EC1CC0	00EC5540	80B0BDB0	80B0F6B0	0024	14.125		ovl_En_Sw
0150 (0x0096)	00C99AC0	00CA1370	808CADC0	808D2670	009C	30.171		ovl_Boss_Fd
0151 (0x0097)	00F516B0	00F54C80	80BA2AA0	80BA6070	0001	13.453		ovl_Object_Kankyo
0152 (0x0098)	00DB4820	00DB62E0	809FDC30	809FF6F0	009D	6.6875		ovl_En_Du
0153 (0x0099)	00DC22B0	00DC50A0	80A0B6C0	80A0E4B0	009E	11.484		ovl_En_Fd
0154 (0x009A)	00E1FFB0	00E21E30	80A693D0	80A6B250	00A0	7.6250		ovl_En_Horse_Link_Child
0155 (0x009B)	00D4D530	00D4DC20	80993EF0	809945E0	0002	1.7343		ovl_Door_Ana
0156 (0x009C)	00C7B360	00C7C7E0	808AC660	808ADAE0	00A1	5.1250		ovl_Bg_Spot02_Objects
0157 (0x009D)	00C4A400	00C4AB40	8087B6B0	8087BDF0	00A2	1.8125		ovl_Bg_Haka
0158 (0x009E)	00F39D20	00F3BC70	80B8B100	80B8D050	0001	7.8281		ovl_Magic_Wind
0159 (0x009F)	00F37990	00F39D20	80B88D70	80B8B100	0001	8.8906		ovl_Magic_Fire
0160 (0x00A0)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0161 (0x00A1)	00EA0BF0	00EA8530	80AEAC10	80AF2550	00A3	30.312		ovl_En_Ru1
0162 (0x00A2)	00CA1370	00CA5570	808D2670	808D6870	00A5	16.500		ovl_Boss_Fd2
0163 (0x00A3)	00DC50A0	00DC5E50	80A0E4B0	80A0F260	0003	3.4218		ovl_En_Fd_Fire
0164 (0x00A4)	00DA1930	00DA3470	809EAD40	809EC880	00A6	6.8125		ovl_En_Dh
0165 (0x00A5)	00DA3470	00DA4460	809EC880	809ED870	00A6	3.9843		ovl_En_Dha
0166 (0x00A6)	00E9D290	00E9E420	80AE72B0	80AE8440	00A7	4.3906		ovl_En_Rl
0167 (0x00A7)	00DBD310	00DBE580	80A06720	80A07990	0001	4.6093		ovl_En_Encount1
0168 (0x00A8)	00D23160	00D26B40	80969AD0	8096D4B0	009D	14.468		ovl_Demo_Du
0169 (0x00A9)	00D3E270	00D42510	80984BE0	80988E80	0087	16.656		ovl_Demo_Im
0170 (0x00AA)	00D4CD00	00D4D530	809936C0	80993EF0	000E	2.0468		ovl_Demo_Tre_Lgt
0171 (0x00AB)	00DD5180	00DD69A0	80A1E5A0	80A1FDC0	009E	6.0312		ovl_En_Fw
0172 (0x00AC)	00C8CA60	00C8D200	808BDD60	808BE500	009C	1.9062		ovl_Bg_Vb_Sima
0173 (0x00AD)	00EDEDF0	00EE0050	80B28FA0	80B2A200	009C	4.5937		ovl_En_Vb_Ball
0174 (0x00AE)	00C4C780	00C4CB70	8087DA40	8087DE30	0001	0.9843		ovl_Bg_Haka_Megane
0175 (0x00AF)	00C4CB70	00C4D220	8087DE30	8087E4E0	0069	1.6718		ovl_Bg_Haka_MeganeBG
0176 (0x00B0)	00C4DE40	00C4E9E0	8087F100	8087FCA0	0069	2.9062		ovl_Bg_Haka_Ship
0177 (0x00B1)	00C4D220	00C4DE40	8087E4E0	8087F100	0001	3.0312		ovl_Bg_Haka_Sgami
0178 (0x00B2)	00000000	00000000	00000000	00000000	0000	0.0000		NULL
0179 (0x00B3)	00E09A80	00E0C220	80A52EA0	80A55640	0097	9.9062		ovl_En_Heishi2
0180 (0x00B4)	00DBE580	00DBFA90	80A07990	80A08EA0	0092	5.2656		ovl_En_Encount2
0181 (0x00B5)	00DC8810	00DC9C60	80A11C20	80A13070	0092	5.0781		ovl_En_Fire_Rock
0182 (0x00B6)	00D84130	00D85220	809CAB10	809CBC00	00AC	4.2343		ovl_En_Brob
0183 (0x00B7)	00F3BC70	00F3D6A0	80B8D050	80B8EA80	00AB	6.5468		ovl_Mir_Ray
0184 (0x00B8)	00C807E0	00C80E80	808B1AE0	808B2180	00AE	1.6562		ovl_Bg_Spot09_Obj
0185 (0x00B9)	00C87610	00C880D0	808B8910	808B93D0	00AF	2.6875		ovl_Bg_Spot18_Obj
0186 (0x00BA)	00D11350	00D1FFE0	8094F2C0	80966950	008C	59.140		ovl_Boss_Va
0187 (0x00BB)	00C4FF90	00C50A40	80881250	80881D00	0069	2.6718		ovl_Bg_Haka_Tubo
0188 (0x00BC)	00C4E9E0	00C4FF90	8087FCA0	80881250	0069	5.4218		ovl_Bg_Haka_Trap
0189 (0x00BD)	00C4BD00	00C4C780	8087CFC0	8087DA40	008D	2.6250		ovl_Bg_Haka_Huta
0190 (0x00BE)	00C51300	00C524D0	808825C0	80883790	0001	4.4531		ovl_Bg_Haka_Zou
0191 (0x00BF)	00C86100	00C86410	808B7400	808B7710	00B1	0.7656		ovl_Bg_Spot17_Funen
0192 (0x00C0)	00EC5540	00EC6700	80B0F6B0	80B10870	0001	4.4375		ovl_En_Syateki_Itm
0193 (0x00C1)	00EC6700	00EC7780	80B10870	80B118F0	005B	4.1250		ovl_En_Syateki_Man
0194 (0x00C2)	00ECDDC0	00ECE1F0	80B17F30	80B18360	00B2	1.0468		ovl_En_Tana
