The Complete Ocarina of Time Object list

Provided by: Zelda's Secret Ocarina

Format:

Group# : start offset - end offset : file name

0000 : 00000000-00000000 : BLANK
0001 : 00F5E000-00FB47B0 : gameplay_keep   
0002 : 00FB5000-00FC2330 : gameplay_field_keep 
0003 : 00FC3000-00FDAAF0 : gameplay_dangeon_keep   
0004 : 00000000-00000000 : BLANK
0005 : 00000000-00000000 : BLANK
0006 : 01047000-0105A180 : object_human    
0007 : 0105B000-0105EC80 : object_okuta    
0008 : 019C7000-019C80D0 : object_crow 
0009 : 0105F000-010640E0 : object_poh  
000A : 01070000-0108D530 : object_dy_obj   
000B : 01065000-0106F070 : object_wallmaster   
000C : 01090000-01099940 : object_dodongo  
000D : 0108E000-0108F8C0 : object_firefly  
000E : 01041000-01047000 : object_box  
000F : 0109A000-0109E0A0 : object_fire 
0010 : 00000000-00000000 : BLANK
0011 : 00000000-00000000 : BLANK
0012 : 0113A000-0113B0C0 : object_bubble   
0013 : 0109F000-010A1540 : object_niw  
0014 : 00FDC000-01013800 : object_link_boy 
0015 : 01014000-01040F80 : object_link_child   
0016 : 010A2000-010A5A30 : object_tite 
0017 : 010A6000-010A7EF0 : object_reeba    
0018 : 010A8000-010A9C90 : object_peehat   
0019 : 010AA000-010DACE0 : object_kingdodongo  
001A : 010DB000-010E8F10 : object_horse    
001B : 010E9000-010FF3A0 : object_zf   
001C : 01100000-0111F600 : object_goma 
001D : 01120000-011343C0 : object_zl1  
001E : 01135000-01139220 : object_gol  
001F : 0113C000-0113E0F0 : object_dodojr   
0020 : 0113F000-01143770 : object_torch2   
0021 : 01144000-01149850 : object_bl   
0022 : 0114A000-0114BCF0 : object_tp   
0023 : 0114C000-01150710 : object_oA1  
0024 : 01151000-01156BB0 : object_st   
0025 : 01157000-01159260 : object_bw   
0026 : 0115A000-0115D420 : object_ei   
0027 : 0115E000-01167FC0 : object_horse_normal 
0028 : 01168000-0116E6B0 : object_oB1  
0029 : 0116F000-01171150 : object_o_anime  
002A : 01172000-011736C0 : object_spot04_objects   
002B : 01174000-0117C760 : object_ddan_objects 
002C : 0117D000-01194D20 : object_hidan_objects    
002D : 01195000-011A1090 : object_horse_ganon  
002E : 011A2000-011A76D0 : object_oA2  
002F : 011A8000-011A9C10 : object_spot00_objects   
0030 : 011AA000-011BE1A0 : object_mb   
0031 : 011BF000-011C0A00 : object_bombf    
0032 : 011C1000-011CF800 : object_sk2  
0033 : 011D0000-011D6810 : object_oE1  
0034 : 011D7000-011DC060 : object_oE_anime 
0035 : 011DD000-011E2A70 : object_oE2  
0036 : 011E3000-011EC080 : object_ydan_objects 
0037 : 011ED000-01200000 : object_gnd  
0038 : 01200000-01205B50 : object_am   
0039 : 01206000-012099C0 : object_dekubaba 
003A : 00000000-00000000 : BLANK
003B : 0120A000-0120C130 : object_oA3  
003C : 0120D000-0120E730 : object_oA4  
003D : 0120F000-012106B0 : object_oA5  
003E : 01211000-01212A00 : object_oA6  
003F : 01213000-01214550 : object_oA7  
0040 : 01215000-01220AC0 : object_jj   
0041 : 01221000-012227B0 : object_oA8  
0042 : 01223000-01223520 : object_oA9  
0043 : 01224000-012280E0 : object_oB2  
0044 : 01229000-0122D490 : object_oB3  
0045 : 0122E000-0122F870 : object_oB4  
0046 : 01230000-01237160 : object_horse_zelda  
0047 : 01238000-0123D060 : object_opening_demo1    
0048 : 0123E000-01240CB0 : object_warp1    
0049 : 01241000-01241640 : object_b_heart  
004A : 01242000-01245660 : object_dekunuts 
004B : 01246000-0124D120 : object_oE3  
